                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6214,                0.88964,                0.91126,                0.98969,                0.96809,                0.98463,                 0.6287,                 1.3702,                0.87425,                0.86942,                      0,                      0,                      0
                      2,                 1.4713,                 0.7522,                0.84997,                0.99222,                0.96986,                0.98558,                0.63578,                 1.3523,                0.86119,                0.86748,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.5826,                0.81024,                0.86919,                0.99559,                0.97163,                0.98575,                0.64454,                 1.3333,                0.85319,                0.86529,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.3761,                0.72765,                0.85247,                0.99118,                 0.9734,                0.98668,                 0.6473,                 1.3303,                0.85443,                0.86425,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.4164,                0.73594,                0.86035,                0.98919,                0.97361,                0.98673,                0.63969,                 1.3522,                0.84602,                0.86664,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 1.5419,                 0.7914,                0.89082,                 0.9859,                0.96809,                0.98409,                 0.6364,                 1.3749,                 0.8337,                0.86952,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.5711,                 0.7958,                 0.8762,                0.97832,                0.96009,                0.97971,                0.63111,                 1.3845,                0.82655,                 0.8713,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.4928,                0.75668,                0.89299,                 0.9711,                 0.9534,                0.97627,                0.63244,                 1.3948,                0.81296,                0.87375,              0.0001303,              0.0001303,              0.0001303
                      9,                 1.4117,                0.74423,                0.87696,                0.96343,                0.95213,                0.97341,                0.63594,                 1.3788,                0.80652,                 0.8718,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.4377,                0.72509,                0.88088,                0.95564,                 0.9539,                0.97332,                0.63415,                 1.3792,                 0.8017,                0.87219,             0.00016396,             0.00016396,             0.00016396
                     11,                 1.4246,                0.72436,                0.87254,                0.96681,                0.95567,                0.97674,                0.63965,                 1.3679,                 0.8029,                 0.8709,              0.0001802,              0.0001802,              0.0001802
                     12,                 1.3895,                0.70307,                 0.8637,                0.97202,                0.95745,                0.97713,                0.61978,                 1.3709,                0.83854,                0.87188,             0.00019604,             0.00019604,             0.00019604
                     13,                 1.4763,                0.84138,                 0.8703,                0.97107,                0.95223,                0.97491,                0.61444,                 1.3778,                0.83677,                 0.8727,             0.00021149,             0.00021149,             0.00021149
                     14,                 1.4054,                0.69777,                0.86348,                0.97205,                 0.9539,                0.97682,                0.61853,                 1.3722,                0.81863,                0.87152,             0.00022654,             0.00022654,             0.00022654
                     15,                 1.3251,                0.69381,                0.86988,                0.96343,                 0.9539,                 0.9739,                0.63284,                  1.366,                0.77321,                0.86986,             0.00024119,             0.00024119,             0.00024119
                     16,                 1.4054,                0.70246,                 0.8603,                0.96655,                0.95745,                0.97584,                0.62837,                 1.3969,                0.76438,                 0.8738,             0.00025545,             0.00025545,             0.00025545
