                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9191,                 4.4958,                 2.5901,                      0,                      0,                      0,                      0,                 5.6898,                 3.9959,                  2.023,                      0,                      0,                      0
                      2,                 6.0747,                 5.0842,                 2.2749,                      0,                      0,                      0,                      0,                 5.6581,                 3.9893,                 1.9918,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 5.8982,                 4.5737,                 2.5829,                      0,                      0,                      0,                      0,                 5.5644,                 3.9616,                 1.9192,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 5.7958,                 4.3871,                 2.4253,                      0,                      0,                      0,                      0,                 5.4428,                 3.9251,                 1.8258,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 5.7436,                 4.3763,                 2.0613,                      0,                      0,                      0,                      0,                 5.2576,                 3.8672,                 1.7054,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 5.5552,                 4.0506,                 1.8565,                0.00167,                0.00177,                0.00084,                0.00017,                 4.9842,                 3.7868,                 1.5531,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 5.1559,                 3.7022,                 1.6604,                0.00667,                0.00709,                0.00337,                0.00109,                 4.6613,                  3.725,                 1.4103,             0.00010574,             0.00010574,             0.00010574
                      8,                 4.9205,                 3.5558,                 1.3892,                0.00333,                0.00355,                0.00168,                0.00034,                 4.3387,                 3.6815,                 1.2913,              0.0001206,              0.0001206,              0.0001206
                      9,                  4.378,                 3.3239,                 1.2578,                   0.01,                0.01064,                0.00506,                0.00084,                 4.1567,                 3.6395,                 1.2066,             0.00013466,             0.00013466,             0.00013466
                     10,                 4.1766,                 3.2604,                 1.2202,                   0.01,                0.01064,                0.00506,                0.00084,                 4.1167,                 3.5807,                 1.1537,             0.00014792,             0.00014792,             0.00014792
                     11,                 3.9095,                 3.0672,                 1.1187,                0.00167,                0.00177,                0.00084,                  8e-05,                 4.2554,                 3.4884,                 1.1466,              0.0001604,              0.0001604,              0.0001604
                     12,                 3.7026,                 2.8917,                 1.0537,                0.00667,                0.00709,                0.00336,                0.00042,                 4.1917,                 3.4078,                  1.142,             0.00017208,             0.00017208,             0.00017208
                     13,                 3.5238,                 2.6034,                 1.0702,                0.00167,                0.00177,                0.00084,                0.00034,                 3.8373,                 3.3643,                 1.1241,             0.00018298,             0.00018298,             0.00018298
                     14,                 3.3096,                 2.3413,                 1.0636,                0.00167,                0.00177,                0.00084,                0.00034,                 3.4703,                 3.3372,                 1.1084,             0.00019308,             0.00019308,             0.00019308
                     15,                 3.4156,                 2.2263,                 1.0463,                0.00167,                0.00177,                0.00084,                0.00034,                 3.2386,                 3.3103,                 1.0958,             0.00020238,             0.00020238,             0.00020238
                     16,                 3.6482,                 2.0944,                 1.0197,                0.00167,                0.00177,                0.00084,                0.00034,                 3.1366,                 3.2734,                 1.0865,              0.0002109,              0.0002109,              0.0002109
                     17,                 3.4623,                  1.941,                 1.0406,                0.00833,                0.00887,                0.00423,                0.00101,                 3.0753,                 3.2355,                  1.075,             0.00021862,             0.00021862,             0.00021862
                     18,                 2.9009,                 1.7105,                 1.0322,                0.00833,                0.00887,                0.00423,                0.00101,                 3.0753,                 3.2355,                  1.075,             0.00022556,             0.00022556,             0.00022556
                     19,                 2.9494,                 1.7159,                 1.0592,                0.02333,                0.02482,                0.01208,                0.00275,                 2.9878,                 3.1704,                 1.0545,              0.0002317,              0.0002317,              0.0002317
                     20,                 3.1308,                 1.7026,                 1.0324,                0.02333,                0.02482,                0.01208,                0.00275,                 2.9878,                 3.1704,                 1.0545,             0.00023704,             0.00023704,             0.00023704
                     21,                 2.9986,                 1.6531,                0.99971,                  0.035,                0.03723,                0.01842,                0.00546,                 2.9338,                 3.0968,                 1.0339,              0.0002416,              0.0002416,              0.0002416
                     22,                 3.2849,                 1.7275,                 0.9958,                  0.035,                0.03723,                0.01842,                0.00546,                 2.9338,                 3.0968,                 1.0339,             0.00024536,             0.00024536,             0.00024536
                     23,                 2.8755,                 1.5551,                0.98405,                0.04833,                0.05142,                0.02583,                0.00724,                 2.9289,                 3.0264,                 1.0167,             0.00024834,             0.00024834,             0.00024834
                     24,                  3.793,                  1.754,                0.98439,                0.04833,                0.05142,                0.02583,                0.00724,                 2.9289,                 3.0264,                 1.0167,             0.00025052,             0.00025052,             0.00025052
                     25,                 3.1109,                 1.6015,                0.98086,                   0.05,                0.05319,                0.02675,                0.00693,                 3.0275,                 2.9674,                   1.01,              0.0002519,              0.0002519,              0.0002519
                     26,                 2.9169,                 1.5526,                0.97341,                   0.05,                0.05319,                0.02675,                0.00693,                 3.0275,                 2.9674,                   1.01,              0.0002525,              0.0002525,              0.0002525
                     27,                 3.0665,                 1.6011,                0.96231,                   0.07,                0.07447,                0.03823,                0.00932,                 3.1002,                 2.9139,                 1.0081,              0.0002523,              0.0002523,              0.0002523
                     28,                  3.194,                 1.5576,                0.94143,                   0.07,                0.07447,                0.03823,                0.00932,                 3.1002,                 2.9139,                 1.0081,             0.00025132,             0.00025132,             0.00025132
                     29,                 3.1001,                 1.5172,                0.94796,                   0.07,                0.07447,                0.03869,                0.01055,                  3.129,                 2.8615,                 1.0038,             0.00024954,             0.00024954,             0.00024954
                     30,                 2.9443,                 1.5592,                0.95381,                   0.07,                0.07447,                0.03869,                0.01055,                  3.129,                 2.8615,                 1.0038,             0.00024696,             0.00024696,             0.00024696
